City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.2,broken clouds,-23.1203,-134.9692,People ThankYou
1,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
3,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
4,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
6,Carnarvon,AU,84.13,clear sky,-24.8667,113.6333,Hospitality Carnarvon
7,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
8,Flinders,AU,71.19,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
9,Manaure,CO,78.08,broken clouds,11.7751,-72.4445,Hotel Palaaima
